expression,context,category
не без,"Здаецца, НЕ БЕЗ шкадавання дзед падаў вядро хлопцу.",prep
мяркуючы па,"У вітрынах за шклом ляжала зброя, якая нібыта належала яму, нейкія рэчы, якія, МЯРКУЮЧЫ ПА надпісах, таксама яму належалі.",prep
на карысьць,"Калі сённяшняя адміністрацыя ЗША будзе настойваць на ажыццяўленні абвешчанай СНБ, шанцы НА КАРЫСЬЦЬ гэтай альтэрнатывы рэзка павялічваюцца.",prep
у адрозненне ад,"У АДРОЗНЕННЕ АД многiх еўрапейскiх краiн, дзе прафесiя лекара адна з самых высокааплатных, у Беларусi кошт гадзiны працы медыцынскiх работнiкаў складае ўсяго 4404 рублi, а гэта мiж iншым толькi 59, 7 працэнта ад аплаты за гадзiну працы ў прамысловасцi.",prep
ў дачыненні да,Камітэт па правах чалавека ААН выказвае сур'ёзную заклапочанасць прыведзенымі ў выкананне смяротнымі прысудамі Ў ДАЧЫНЕННІ ДА Дзмітрыя Канавалава і Ўладзіслава Кавалёва.,prep
на аснове,Інфармацыя падрыхтавана НА АСНОВЕ штотыдневай рэгістрацыі спажывецкіх цэн на 153 віды тавараў і паслуг у 31 горадзе краіны.,prep
ў сілу,Мо Ў СІЛУ сваей навуковай інтуіцыі яна не паверыла ў пануючую версію.,prep
ў параўнанні з,"У лютым зарплата павялічылася Ў ПАРАЎНАННІ З студзенем на 2, 9%, або на 83, 7 тыс. рублеў.",prep
па меры,"Пасяджэннi праўлення спажывецкага таварыства праводзяцца ПА МЕРЫ неабходнасцi, але не радзей чым адзiн раз у месяц.",prep
на падставе,16 сакавіка маці Кавалева накіравала на імя Аляксандра Лукашэнкі зварот з просьбай прыпыніць на год выкананне смяротнага прыгавору ў дачыненні да сына НА ПАДСТАВЕ арт. 61 канстытуцыі.,prep
ў імя,"За грошы там, яшчэ за што… не Ў ІМЯ самой музыкі, карацей.",prep
пры дапамозе,"Не сама ж па сабе, не чараўніцтвам, не цудам, а ПРЫ ДАПАМОЗЕ перніка і бізуна.",prep
з мэтай,Стварэнне шматфункцыянальных абаронных сiстэм З МЭТАЙ комплекснага вырашэння задач забеспячэння ўзброенай абароны рэспублiкi Беларусь.,prep
ў рамках,Дзейная на сення сiстэма аплаты працы работнiкаў аховы здароўя Ў РАМКАХ адзiнай тарыфнай сеткi i тарыфнай стаўкi першага разраду ўсе адно не дае магчымасцi годна ацанiць напружанасць i адказнасць вельмi спецыфiчнай працы медыцынскага работнiка.,prep
ў лiку,"Газэта ""Савецкая Беларусь"" у аглядзе паэзii згадала ягонае імя Ў ЛIКУ маладых пралетарскiх паэтаў.",prep
падчас,Паўночнаатлантычная кампанія ПАДЧАС другой сусветнай вайны стала адным з найбольш значных прыкладаў гэтай ідэі.,prep
у залежнасцi ад,"Камiтэтам дзяржаўнай бяспекi Рэспублiкi Беларусь можа стварацца аператыўны штаб, якi ўзначальвае прадстаўнiк Камiтэта дзяржаўнай бяспекi Рэспублiкi Беларусь або Мiнiстэрства ўнутраных спраў Рэспублiкi Беларусь У ЗАЛЕЖНАСЦI АД таго, кампетэнцыя якога органа будзе пераважаць у правядзеннi канкрэтнай контртэрарыстычнай аперацыi.",prep
аж да,"Няўстойка за парушэнне тэрмiнаў пачатку выканання работы (аказання паслугi), яе этапа спаганяецца за кожны дзень (гадзiну, калi тэрмiн вызначаны ў гадзiнах) пратэрмiноўкi затрымкі АЖ ДА пачатку выканання работы (аказання паслугi) цi прад'яўлення спажыўцом патрабаванняў, прадугледжаных пунктам 1 гэтага артыкула.",prep
у вачах,"— Не бі ў аглоблі, Раман Канстанцінавіч, — з недагавораным У ВАЧАХ сказаў Росцік.",prep
у працэсе,Выдатнікі баявой і палітычнай падрыхтоўкі ня будуць У ПРАЦЭСЕ гэтай падрыхтоўкі рабіць табе веласіпед.,prep
ва ўмовах,"Інтэнсіўная распрацоўка ўрадлівых глеб, асабліва ВА ЎМОВАХ перасечанай мясцовасці і сезоннага ўвільгатнення, прывяла да развіцця тут працэсаў эрозіі.",prep
на працягу,НА ПРАЦЯГУ чатырох дзесяцігоддзяў таварыства ўзначальваў вядомы географ і падарожнік.,prep
нароўні з,"Плацельшчыкі падатку вядуць асобны ўлік даходаў і выдаткаў па кожнай праводзімай латарэі, а таксама па іншых відах дзейнасці якія ажыццяўляюцца НАРОЎНІ З дзейнасцю па арганізацыі і правядзенню латарэй.",prep
у межах,Савет мiнiстраў рэспублiкi Беларусь У МЕЖАХ сваiх паўнамоцтваў вырашае пытаннi i нясе адказнасць за ўсебаковае задавальненне патрэб узброеных сiл.,prep
за выключэннем,"Тым не менш, дзейнасць «Зорнага Альянсу» распаўсюджваецца на ўсе напрамкі, ЗА ВЫКЛЮЧЭННЕМ паўднева-ўсходняй часткі Ціхага акіяна — ад Сант'яга-дэ-Чылі да Таіці.",prep
незалежна ад,"У мяне есць свая кампанія, якая збіраецца ў лазні кожны чацвер, НЕЗАЛЕЖНА АД таго, стаўся ў сераду патоп, ці землятрус.",prep
недалека ад,"На калідоры каля выхада на лесвіцу, НЕДАЛЕКА АД маей палаты топчацца міліцыянт.",prep
ў раене,Авіяносец «канвенцыя» знаходзіўся Ў РАЕНЕ свайго пастаяннага месцазнаходжання.,prep
па заканчэнні,ПА ЗАКАНЧЭННІ пасяджэння Троцкі адразу ж пайшоў да тэлеграфнага апарата.,prep
у гонар,Назвалі акцябром. У ГОНАР дзесятай гадавіны Вялікай рэвалюцыі.,prep
ад імя,"Кэтрын Эштан дадала, што гэты пасыл беларускаму боку адпраўляецца як АД ІМЯ Еўрасаюза, так і ад асобных краін-членаў, якія маюць кантакты ў Беларусі.",prep
з улікам,"Рэальная заработная плата (З УЛІКАМ росту спажывецкіх цэн на тавары і паслугі) у студзені-лютым гэтага года паменшылася на 1, 5%.",prep
пад назваю,Пазней мы адшукалі тэкст ПАД НАЗВАЮ “Iмгненьні” ў мексіканскім часопісе “Плюраль”.,prep
у асобе,Ажыццяўляюць У АСОБЕ органаў дзяржаўнага пажарнага нагляду ў адпаведнасцi з заканадаўствам рэспублiкi Беларусь.,prep
