expression,context
die Tag-Team-Titel,Am 9. Januar 2011 gewannen sie von The Motorcity Machine Guns (Alex Shelley & Chris Sabin) zum vierten Mal die Tag-Team-Titel.
die Tagelöhner-Frage,"Er unterschrieb Friedensverträge mit Deutschland, Japan und Italien und verhandelte mit den USA über die Tagelöhner-Frage."
die Tages-,Der Lichtpunkt zeigt die Tages- und die Jahreszeit an.
die Tagesdifferenz,"Die ursprüngliche Idee war, beginnend mit dem Jahr 1700, letztmals 1740 auf insgesamt elf Schaltjahre zu verzichten und so schrittweise die Tagesdifferenz zwischen julianischem und gregorianischem Kalender auszugleichen."
die Tagesetappe,"Mit 314,6Kilometern war die Tagesetappe die längste der Veranstaltung."
die Tagesgeschäfte,"Es übernahm viele der geplanten Funktionen des größeren und formelleren Gebäudes von früh an, da zu Anfang des 9. Jahrhunderts die Tagesgeschäfte der Regierung nicht mehr in Anwesenheit des Kaisers im Daigoku-den durchgeführt wurden."
die Tagesmessen,Im Bobbio-Missale scheinen die Tagesmessen in der Anordnung gallikanisch zu sein – bis hin zum Vorwort und den gelasianisch-römischen Stücken die später hinzugefügt wurden.
die Tagesprognose,"Die dreistündige Vorhersage ist für die folgenden fünf Tage verfügbar, die Tagesprognose für die nächsten 14 Tage."
die Tageszeit,"Aber die Tageszeit ist unklar, da Tage zu dieser Jahreszeit kurz sind."
die Tagseite,"Das Modell sagt voraus, dass sich die Nachtseite stärker auflädt als die Tagseite, und so möglicherweise Staubteilchen höher bringt und stärker beschleunigt."
ein für alle Mal,"Der Kriegsführer der Nlaka'pamux versuchte, die versammelten Krieger zu überzeugen, die weißen Männer ein für alle Mal auszulöschen, aber der Camchin-Häuptling Cxpentlum, der auch als Spintlum oder David Spintlum bekannt war, plädierte für Frieden und Zusammenleben, weil er gute Beziehungen zu James Douglas hatte."
ersten Rechts,"Als mit dem NHL Amateur Draft 1963 erstmals Talente von den NHL-Teams ausgewählt wurden, nutzten die Montreal Canadiens die Gelegenheit des ersten Rechts um den 16-jährigen Monahan auszuwählen."
guten Dinge,"Wer aber darauf verzichtet, dem soll das eine Sühne sein; und wer nicht nach dem richtet, was Allah herabgesandt hat – das sind die Ungerechten.“ – Sure 5:45: Übersetzung von Rasul Gemäß dem Koran wird auch das Auftreten des Propheten Mohammed (Muhammad) in der Tora prophezeit: „Dies sind jene, die dem Gesandten, dem Propheten folgen, der des Lesens und Schreibens unkundig ist; dort in der Tora und im Evangelium werden sie über ihn (geschrieben) finden: er gebietet ihnen das Gute und verbietet ihnen das Böse, und er erlaubt ihnen die guten Dinge und verwehrt ihnen die schlechten, und er nimmt ihnen ihre Last hinweg und die Fesseln, die auf ihnen lagen."
heiße Eisen,Zwei „heiße Eisen“ bestimmten zu dieser Zeit die Reformagenda im Bereich des Rechts: die Abtreibungsfrage und das Ehescheidungswesen.
im Falle,"Atomare Operationen, die mehrere Dateien umfassen: Wenn eine Applikation an mehreren Dateien zeitgleich Veränderungen durchführen muss, können allen notwendigen Dateioperationen in einer Transaktion zusammengefasst und eine Dateninkonsistenz im Falle eines Fehlers vermieden werden."
im Fallschirmjäger-Bataillon,Eiland trat im Jahre 1970 in die israelische Armee ein und diente dort zunächst im Fallschirmjäger-Bataillon 890.
im Fallschirmjäger-Regiment,Rudolf Harbig diente zu diesem Zeitpunkt mit dem Dienstgrad Oberfeldwebel im Fallschirmjäger-Regiment 6 (Major Friedrich August von der Heydte) als Zugführer.
im Mobilmachungsfall,"Die mit der Entprivatisierung verbundene Vereinheitlichung des Betriebs sowie die neuen Verknüpfungen in der Hauptstadt sollten es im Mobilmachungsfall –insbesondere im Fall eines Zweifrontenkriegs– erlauben, leichter Truppen, Waffen und Munition verschieben zu können."
in Kauf nahm,"Da ihr dies nicht gelang, wandte sie sich wegen einer Versteigerung an Christie’s, wobei sie eine juristische Auseinandersetzung wegen der Eigentumsverhältnisse in Kauf nahm."
in Kauf nehmen,"Auf die anfangs geplante Pferdebahn hatte man verzichtet, musste dafür aber das Streckenende am rechten Ufer in Kauf nehmen, da die 1859 erbaute Donaubrücke für einen Lokomotivbetrieb zu schwach war."
in den Sand gesetzt,"Der damalige Bundeskanzler hatte dem Unternehmen Bürgschaften und Darlehen in Höhe von 128 Millionen Euro zugesagt, nachdem es Milliarden in den Sand gesetzt hatte The former chancellor had promised guarantees and loans amounting to 128 million euros to the company, after they had burned billions"
ins Kraut geschossen,"Derartige Theorien seien nur insofern erfolgreich gewesen, als sie die Menge der abergläubischen Ideen vermehrten, die seit dem Sieg Francis Bacons über die mittelalterliche Scholastik ins Kraut geschossen seien."
ins Ziel gehen,Voranschlag – entsichern – ins Ziel gehen – Feuer! Aiming position – unlock – aim – fire!
keine Wunder,"Da sie keine Wunder erzählen, verletzen sie die Naturgesetze nicht und könnten in diesem Sinne wahr sein."
mundtot macht,"Das Kanadische Nachrichtenmagazin Macleans nannte den Film 'einen schillernden Frontalangriff darauf, wie Unternehmenskultur die Meinungsfreiheit mit den Urheberrecht mundtot macht.'"
offenen Ohranlegeoperationen,Sie wird deshalb den offenen Ohranlegeoperationen zugeordnet.
reinen Wein einschenken,"Inzwischen wartet eine andere Frau auf ihre vier Liebhaber, denen sie reinen Wein einschenken will."
seine wissenschaftlichen,Im Jahre 2005 ehrte ihn die Royal Astronomical Society mit der Eddington-Medaille für seine wissenschaftlichen Verdienste in der Berechnung des Sternaufbaus und der Sternentwicklung.
sich die Hörner abstoßen,"„Freund, ein Junge muß sich die Hörner abstoßen.“ „Ganz recht, Herzog; wir haben auch unsere Flegeljahre gehabt. Aber bei meinem Friedemann dauern diese Jahre zu lange. Er ist Soldat gewesen, zählt jetzt vierundzwanzig—nun, bei meiner armen Seele, da kann er sich die Hörner wohl abgestoßen haben. [ … ]“"
unseres Wissens,Der größte Teil unseres Wissens beruht auf Fossilfunden.
von A bis Z.,Eine deutsche Stadt von A bis Z. Radio Bremen 1987.
zum Tragen kommen,"All diese Faktoren können nur zum Tragen kommen, wenn sie bis max."
zum Tragen kommt,"Lediglich letzteres hat seine aufwändige Fassadengestaltung im Zuge der Beseitigung von Kriegsschäden eingebüßt, so dass seine einstige architektonische Bedeutung als baulich betonter Auftakt der Straßenzeile zusammen mit dem unveränderten Objekt Martiusstraße 7 nicht mehr eindeutig zum Tragen kommt."
zum Zuge käme,"Der bayerische Botschafter am kaiserlichen Hof, Sigismund Seld, schrieb am 28. April 1555 an seinen Dienstherrn Herzog Albrecht V. von Bayern, dass Nicolas Payen dazu bestimmt war, Canis als Kapellmeister nachzufolgen, und stellte in Aussicht, dass die neue Strömung der „Musica reservata“ nun besser zum Zuge käme als bisher, weil sich Cornelius Canis damit nicht anfreunden konnte."
zur Schau getragen,"Seine Abneigung gegen die königliche Familie und ihre Wurzeln wird in „Irish blood, English heart“ besonders deutlich zur Schau getragen („… and spit upon the name Oliver Cromwell and denounce this Royal line that still salutes him …“)."
