expression,context
W zależności od,"W zależności od strefy czasowej, poprzedzone lub kontynuowane było Canada for Haiti."
W zamian,"W zamian Caine opisuje Nolana jako „jednego z największych reżyserów kina”, porównując go korzystnie z takimi jak David Lean, John Huston czy Joseph L. Mankiewicz."
W zasadzie,"Komisarz straży pożarnej, Thomas Von Essen wyznał: „W zasadzie wiedziałem o jego homoseksualizmie, kiedy byłem członkiem Uniformed Firefighters Association."
W związku z,W związku z tym wielu Albańczyków wyjeżdżało na studia do Chin i uczyło się tam chińskiego.
W związku ze,"W związku ze skutecznością oraz bezpieczeństwem, Światowa Organizacja Zdrowia zasugerowała w 2009 r. oferowanie wszystkim dzieciom na świecie szczepień przeciwko rotawirusom."
W ślad za,"W ślad za tym szła regulacja Unii z lipca 1861 roku, zgodnie z którą każda kompania piechoty, artylerii i kawalerii powinna mieć dwóch muzyków, tak, aby każdy pułk posiadał zespół złożony z 24 osób."
W świetle,"W świetle swojej nowo odkrytej pasji i za radą swojego nauczyciela dramatu, Neal zdecydował, że chce zrobić karierę aktorską."
W żadnym wypadku,W żadnym wypadku nie będą mogły zostać zaaprobowane.”
"Widziały gały, co brały","2015, Adam Leszczyński, Cezary Kaźmierczak, Banki są bezpieczne. A ty?, Gazeta Wyborcza Proszę sobie wyobrazić: idzie pan do salonu Mercedesa. To firma godna zaufania. Kupuje pan samochód i jedzie pan do domu. Oczywiście podpisał pan umowę. Nagle się okazuje, że w tym samochodzie znajduje się silnik trabanta. Powie pan: 'Widziały gały, co brały'?"
Wojny domowej,Jego ojciec zginął w 1997 roku podczas Wojny domowej w Burundi.
Wolność słowa,"Niektórzy twierdzą, że prawdziwa Wolność słowa, szczególnie w kontrowersyjnych tematach jest trudna lub niemożliwa do zachowania, jeśli jednostki nie mogą mówić całkowicie anonimowo."
Wraz z,Wraz z mężem działała w polskiej organizacji narodowej na terenie Łodzi.
Wraz ze,Wraz ze swym doktorantem Tomaszem Imielińskim stworzył podwaliny teorii niezupełnej informacji w relacyjnych bazach danych.
Wręcz przeciwnie,"Wręcz przeciwnie: Pagan ściśle nadzorował swoje porty na Półwyspie Malajskim, które stanowiły ośrodki tranzytu między Oceanem Indyjskim a Chinami."
Wziął udział,"Wziął udział w konkursie na 'rozgrzane ciało' w lokalnym barze, i pomimo że przegrał, spotkał człowieka, który zaproponował mu pracę striptizera."
Wzięła udział,Wzięła udział w Produce 48.
Wzięły udział,"Wzięły udział w programie Superstar K6 w 2014 roku, przed podpisaniem kontraktu z obecną agencją."
Z biegiem czasu,Z biegiem czasu kapituła katedralna rozszerzyła swoje prawa poprzez zawieranie umów z kandydatami na biskupa jeszcze przed elekcją.
Z całego serca,"Kiedy wychodziłem na lunch czy kawę, zawsze był ktoś, kto podchodził i mówił 'Z całego serca chcemy, żebyś został'."
Z czasem,"Z czasem kampus zrobił się za mały, aby pomieścić całą uczelnię."
Z czasów,"J. Dąbrowski, Z czasów Łokietka."
Z kolei,"Z kolei właściwa supozycja może być materialna lub formalna, w zależności od tego, czy odnosi się do swojego zwyczajnego pozajęzykowego odnośnika (np. „Charles jest mężczyzną”) czy do siebie samej jako jednostki lingwistycznej (np. „Charles ma siedem liter”)."
Z okazji,"Z okazji jej narodzin, król udzielił królewskiej łaski tysiącom więźniów."
Z pewnością,"Odnosząc się do krytyki Poincarego z 1900, Lorentz napisał w swojej sławnej pracy z 1904, w której rozszerzył swoje twierdzenie stanów odpowiednich: „Z pewnością, wymyślanie nowej hipotezy dla każdego nowego wyniku eksperymentu jest co nieco sztuczne."
Z początkiem,"Z początkiem II wojny światowej w 1939, CPGB początkowo nadal wspierała walkę na dwóch frontach (wobec Chamberlaina w kraju i faszyzmu za granicą)."
Z początku,"Z początku zamierzałem kontynuować dziennik, lecz mijały dni, nagle wypełnione odmienną sytuacją i wymaganiami."
Z powodu,"Z powodu jego zaginięcia, ślubu udziela im brat Wojciech."
Z powodów,Z powodów zdrowotnych powrócił jednak do Fryburga.
Z przewagą kupy,"Ciekawe, czy gdyby Chemiczny Ali wytruł nie kilka tysięcy Kurdów, ale kilka tysięcy Żydów (lub Polaków), to też byłby tak rozbawiony. Ech, jak zwykle na antenie tego radia kupa śmiechu. Z przewagą kupy."
Z racji,"Z racji niewielkich rozmiarów pojedyncza pirania nie jest zdolna zabić człowieka, choć może dotkliwie ugryźć."
Z tyłu,"Z tyłu, po prawej redaktor naczelny Manager Magazin – Dorota Goliszewska."
Z udziałem,"Z udziałem: Nanou Duggan, Roland Carey, Jean-Pierre Althaus i Annie Chaplin 2001: Trzej architekci Europy."
Z uwagi na,"Z uwagi na spory dotyczące granicy obu gubernatorstw, Juan de la Cosa zdecydował, że granicę wyznaczać będzie rzeka Atrato."
Z użyciem,"Z użyciem modelu mas ludności na świecie i populacji o ograniczonym poziomie migracji, autorzy wyliczyli, że ostatni wspólny przodek drzewa genealogicznego mógł żyć w roku 55 n.e."
Z wyjątkiem,"Z wyjątkiem trzyletniej przerwy między drugim, a trzecim rozdaniem nagród, jest przyznana co dwa lata od jej ustanowienia."
Z wyłączeniem,Z wyłączeniem Kosowa.
Z założenia,"Z założenia, że każda cząstka ma masę będącą sumą mas tworzących ją cząstek eteru, autorzy wywnioskowali, że cała materia zawiera ilość energii kinetycznej równej E = mc2 lub 2E = mc2, zależnie od konwencji."
Za dnia,Za dnia śpi na wyspie na środku jeziora Lorellin.
Za każdym razem,Za każdym razem spory niweczyły wszystkie inicjatywy.
Za pomocą,"Za pomocą zmodyfikowanego prawa Lamberta-Beera (mBLL), względna koncentracja może być obliczona jako funkcja całkowitej długości ścieżki fotonu."
Za pośrednictwem,"Za pośrednictwem swojego oficjalnego forum Bethesda wydała następujące oświadczenie: „PlayStation 3 to potężne urządzenie i ciężko pracujemy, aby dostarczyć wam oczekiwaną przez was zawartość."
Za sprawą,Za sprawą projektu uzupełniane są luki w zawartości Wikipedii oraz zwiększa się ilość kobiet-redaktorek.
Za to,"Za to metoda natychmiastowej dogrywki w tym przypadku wskazałaby na stolicę miasto-kandydata Knoxville, pomimo tego, że więcej wyborców preferowało Nashville nad Knoxville."
Zbiegiem okoliczności,"Zbiegiem okoliczności, obaj, Didier de Saint-Jaille i Hompesch, są pochowani w Montpellier."
Zdając sobie sprawę,"Zdając sobie sprawę, że Peter jest częścią jego przeznaczenia, Sylar przygotowuje się do spotkania z nim."
Zdali sobie sprawę,Zdali sobie sprawę z konieczności zrzeszania się i walczenia o prawa każdego kompozytora do uczciwego i swobodnego przedstawiania swojej pracy”.
Zdawszy sobie sprawę,"Zdawszy sobie sprawę, że kwestia zaopatrzenia stała się palącym problemem, Burgoyne postanowił działać zgodnie z sugestią uczynioną przez barona Riedesela w lipcu."
Zdał sobie sprawę,"Zdał sobie sprawę, że ten pomysł może zadzialac z dorosłymi postaciami i uchwycić „słodko-gorzkie uczucie powrotu do swojego rodzinnego miasta i poczucia się jak obcy”."
Zdałem sobie sprawę,"Widząc franciszkańskich zakonników, później powiedział: „Zdałem sobie sprawę, że nie zależy mi na sprawach materialnych..."
Ze względu na,"Ze względu na wiek i swój stan Cooper nie służył w wojsku podczas II wojny światowej, ale tak jak wielu jego kolegów zaangażował się w społeczną mobilizację poprzez zabawianie żołnierzy."
Znak wodny,Znak wodny na tych oraz poprzednich banknotach również przedstawiał głowę alegorycznej postaci Melita.
Złoty środek,"Były to: Napis, Pożegnanie września i Złoty środek; wydrukowano je jednak bez zgody autora."
akt zgonu,Adams podpisał jego akt zgonu.
ale Tor,"Tor i jego dwunastu przybranych braci dorastają jako pasterze, ale Tor marzy o zostaniu rycerzem."
ale to,"Oprogramowanie używane w różnych odtwarzaczach S1 MP3, znacznie się różnią, ale to nie jest powszechnie zrozumiałe."
atak serca,"Zmarła na atak serca, w królewskiej rezydencji w La Mareta na wyspie Lanzarote, gdzie cała rodzina królewska świętowała Nowy Rok."
ataki serca,"Doznał dwa poważne ataki serca: jeden w 1979, a drugi w 1984, z których oba uniemożliwiły mu prace na kilka miesięcy po."
ataku serca,Sordi zmarł krótko przed 83. urodzinami po ataku serca.
aż do,"Lotnictwo cywilne, reprezentowane przez Aerofłot, było największym na świecie, lecz borykało się ze swoimi nieudolnościami aż do rozpadu ZSRR."
aż dorośnie,Ona ma rzadki talent; tylko czekać aż dorośnie.”
aż nadto,Rozumiem aż nadto.
aż po,"Od późnych lat XVIII wieku aż po wczesny wiek XIX budynek znany był pod wieloma nazwami, m.in. Palazzo del Tribunale, Palais de Justice oraz Gran Corte della Valletta."
bez ogródek,Holly lubi szokować ludzi starannie dobierając smaczki ze swojego życia prywatnego albo wyrażając bez ogródek poglądy na różne tematy.
bez przerwy,"Podczas powstania dowództwo francuskie desperacko chciało zneutralizować Baterię Tas-Samra, jednego dnia ostrzeliwano ją bez przerwy przez pięć godzin."
bez skutku,"Według artykułu, który pojawił się w „Naugatuck Daily New”, „lekarze z trzech różnych kontynentów głowili się nad gastrycznymi mechanizmami tego człowieka strusia bez skutku."
bez wątpienia,Ostatni bez wątpienia wskazywał na Adamsa.
bez zarzutów,"Richie Windmill, lider grupy aktywistów 'Victims of Oscar' ('Ofiary Oscara') został aresztowany w październiku 2015, włącznie z niezaangażowaną w grupę żoną pod zarzutem nękania, ale zostali wypuszczeni bez zarzutów."
bieżącą wodę,"Zaprojektowany przez francuskich i niemieckich architektów, był jednym z pierwszych budynków w kraju, posiadającym centralne ogrzewanie i bieżącą wodę."
brać pod uwagę,"Przeprowadzając rekrutację spośród osób, które osiągnęły wiek piętnastu lat, lecz nie osiągnęły jeszcze 18 lat, Państwa-Strony będą starały się brać pod uwagę w pierwszej kolejności osoby starsze wiekiem."
brać udział,"Kobiety są głównie zaangażowane w zbieranie żywności, ale mogą też brać udział w polowaniu."
brać udziału,"W grudniu 2012 r. raport UNHCR, organizacji ONZ ds. uchodźców, stwierdził fakt że szyici wciąż nie mogą otwarcie brać udziału w swoich rytuałch religijnych w Egipcie."
brzydka jak noc listopadowa,"Byłam brzydka jak noc listopadowa, więc żaden chłopak raczej nie chciał nic dla mnie zrobić spontanicznie, raczej z litości."
budową ciała,"Teorie konstytucjonalne w psychologii (np. Sheldona, Kretschmera) akcentują związek między budową ciała a temperamentem."
być może,"Orson Welles przyznał, że Cagney „być może był największym aktorem, jaki kiedykolwiek pojawił się przed kamerą”."
cały czas,"Edward Profittlich cały czas uważał, że jest niewinny."
cały dzień,"Nagrywaliśmy cały dzień, ale im dłużej to trwało, tym lepiej im szło.”"
choroba psychiczna,"Uważa się jednak, że choroba psychiczna i strach przed cierpieniem zmniejsza odpowiedzialność osoby popełniającej samobójstwo."
choroby psychicznej,"Członkowie rodziny upierali się, że zmiana imienia jest tylko aspektem choroby psychicznej Summer."
chorobę psychiczną,"Sondaż przeprowadzony w 2002 roku przez Centrum Praw Człowieka i Obywatela wykazuje, iż 80% Macedończyków uważa homoseksualizm za „chorobę psychiczną zagrażającą funkcjonowaniu rodzin”."
chorób psychicznych,"Reiss jest jednym z czołowych światowych autorytetów naukowych jeśli chodzi o kwestię ‘podwójnej diagnozy’ (podwójnego rozpoznania), czyli współwystępowania chorób psychicznych i niepełnosprawności intelektualnej."
chyba nie,Ale to chyba nie był jazz?
chyba że,"Sędzia Brian Dickson napisał: „Zmuszanie kobiety, by pod groźbą sankcji karnej, nosić płód do terminu, chyba że spełnia pewne kryteria niezwiązane z jej własnymi priorytetami i aspiracjami, jest głęboką ingerencją w ciało kobiety, a tym samym naruszeniem jej bezpieczeństwa osobistego” ."
co do,Miasto jest 3. co do wielkości rynkiem dla samochodów luksusowych w Indiach.
co dodatkowo,"Często wieją silne wiatry Meltemi wiejące z północy w miesiącach letnich, co dodatkowo przyczynia się do trudności z lądowaniem."
co dolary,Banknoty są drukowane na materiale plastikowym o tym samych wymiarach co dolary kanadyjskie.
co dolna,"Anyathian, birmańska epoka kamienia, trwała mniej więcej w tym samym czasie, co dolna i środkowa era paleolityczna w Europie."
co domena,"Domena została przydzielona 21 sierpnia 1997 roku, w tym samym czasie co domena .sj zarezerwowana dla Svalbardu i Jan Mayen."
co doprowadza,"Jednakże głównym błędem interpretacji radzieckiej było to, że sowieci próbowali planować ceny bez konkurencji rynkowej, ponieważ według Marksa rynki konkurencyjne pozwoliły na osiągnięcie równowagi stóp zysku, co doprowadza do wzrostu cen produkcji."
co doprowadziło,"Na przestrzeni wieków, szyici byli prześladowani także w indyjskim Kaszmirze przez sunnickich najeźdźców z regionu, co doprowadziło do śmierci wielu szyitów i w rezultacie większość z nich zmuszona była do ucieczki z regionu."
co dorośli,W wielu społeczeństwach dzieci w wieku 13 lat były postrzegane jak dorośli i angażowały się w te same czynności co dorośli.
co dosłownie,"To ona, w rzeczywistości, nazwała ją Xlejli, co dosłownie znaczy „przyczepiona razem” w starym języku maltańskim."
co dotarło,"Wywiad stwierdził, co dotarło do Sampsona, że hiszpańska flota opuściła Wyspy Zielonego Przylądka rano 29 kwietnia."
co dotknęło,"Gdy znalazłem płytę Toma Scotta, usłyszałem coś niesamowitego co dotknęło mnie i sprawiło, że się popłakałem."
co dużo,"Były to szybkie i pojemne lotniskowce, które mogły zaokrętować i operować ponad 80 samolotami, co było ilością prawie taką samą co dużo większe lotniskowce typu Lexington."
co lepsze,"Jest tak ponieważ Prorok (pokój i błogosławieństwo Allaha z nim) powiedział: „Ten, kto składa przysięgę a potem znajduje jakąś rzecz lepszą, powinien zrobić to, co lepsze i dokonać ekspiacji za (złamaną) przysięgę.'"
co najlepsze,"Ale w przeciwieństwie do swoich zwolenników, Adam Smith zdawał sobie sprawę z pewnych ograniczeń wolnego rynku i od tego czasu badania naukowe wyjaśniły, dlaczego wolne rynki same w sobie często nie prowadzą do tego, co najlepsze."
co najmniej,"Irlandzkie słowo oznaczające „politeizm”, ildiachas, jest używane przez co najmniej jedną grupę na zachodnim wybrzeżu Stanów Zjednoczonych jako Ildiachas Atógtha („zrekonstruowany politeizm”)."
co najwyżej,Wykazano istnienie rozwiązań dla wszystkich poza co najwyżej jedną (grupą Mathieu M23) z 26 sporadycznych grup prostych.
co prawda,"Zrezygnowano co prawda z realizacji koncepcji Frontu Polskiego, powstawały jednak nowe związki taktyczne i oddziały wojsk."
co więcej,"Jimmy Nolen i Phelps Collins są również bardzo znanymi gitarzystami rytmicznymi sceny funk, co więcej obaj współpracowali z Jamesem Brownem."
czarne charaktery,"Uwielbiam czarne charaktery, uwielbiam Red Dead Redemption."
czarną owcą,"Uczęszczała do szkoły muzycznej, w której nazywano ją 'czarną owcą'."
czasie leczył rany,"Bonaparte, który w tym czasie leczył rany u doktora Jeana François Hernandeza, nie uczestniczył w masakrze."
czyliZnak zapytania,"? (takżeTanda Tanya, czyliZnak zapytania) – indonezyjski dramat z 2011 roku wyreżyserowany przezHanung Bramantyo."
daje dupy,"Nie mogę na to dłużej patrzeć, nasz zespół daje dupy na całej linii."
daje rady,"Koordynuje on misje, szkolenia oraz zapewnia wyposażenie dla wysoko wyspecjalizowanych jednostek operacyjnych, daje rady policyjnym dowódcom w poważniejszych przypadkach oraz zapewnia wsparcie międzynarodowym organom ścigania."
dali rady,Pilanie nie dali rady liderom.
dalszych ciągach,"Jednakże, odtworzył postać w adaptacjach radiowych z cyklu Gwiezdne wojny i obydwóch jego dalszych ciągach."
dawne czasy,"Kiedy Ilsa po raz pierwszy wchodzi do Café Americain i zauważa Sama, prosi go: „Zagraj to raz, Sam, przez wzgląd na dawne czasy”."
dawno temu,Główny pień zapadł się w ziemię dawno temu.
dał dupy,"Przegraliśmy, bo Antek znowu dał dupy w obronie."
dał rady,"Junkyard Dog ostatecznie wygrał mecz poprzez wyliczenie, gdyż Valentine nie dał rady powrócić do ringu."
dał radę,Hart dał radę dostać się do swojego rogu ringu.
dała dupy,"Dostała podwyżkę, bo dała dupy szefowi."
dlatego że,"Sieci wykorzystujące inne standardy 3G (WCDMA and CDMA2000 EV/DO) nadal nie zostało uruchomione w Chinach, dlatego że ich uruchomienie zostało odłożone do czasu, kiedy TD-SCDMA było gotowe na komercyjny start."
do czystej,"Dostęp do czystej wody zmniejszył się w najbiedniejszych krajach, zwykle niedotkniętych globalizacją."
do dawnego,O godzinie 18:00 duńskie wojska uszły z pola bitwy i Szwedzi wrócili do dawnego duńskiego obozu.
do dawnej,Mogą także powrócić do dawnej kolonii po kilku latach.
do dna,"Stara się więc odnaleźć prawdę w sobie, a ta podróż zabiera go do dna oceanu i z powrotem."
do góry nogami,Chodzi mi o ich powiązania z Idries Shahem i jego zdolność wywracania wszystkiego do góry nogami.
do końca,"Pozostawały skuteczną bronią do końca 1941 roku, kiedy to nowsze modele Panzer III i Panzer IV z grubszym pancerzem i większymi działami weszły do służby."
do kupy,Jack składa do kupy wszystkie brakujące elementy.
do kwadratu,"Statystyki te wykazały, że ilość badań, jakie się prowadzi w dziedzinie astronomii, jest silnie skorelowana z wielkością produktu krajowego brutto (PKB), przypadającego na mieszkańca danego kraju (per capita), i że liczba astronomów w kraju jest proporcjonalna do PKB tego kraju, więc łączna ilość badań astronomicznych przeprowadzonych w danym kraju jest proporcjonalna do kwadratu jego PKB, podzielonego przez liczbę jego mieszkańców."
do niedawna,Starożytny kultywar białego łubinu pod lokalną nazwą hanchcoly był uprawiany do niedawna w zachodniej Gruzji.
do pełnego,"W roku 1833 zdrowie Wilberforce'a dalej się pogarszało, zaatakowała go grypa, po której już nie wrócił do pełnego zdrowia."
do pełnej,"Tam pozostawał do zimy 1906 i 1907, gdy na krótko wrócił do pełnej służby w 3rd Torpedo Flotilla."
do porzygu,Jego najnowsze zdjęcia są słodkie do porzygu.
do przodu,"Standard Oil zyskał aurę niezwyciężoności, zawsze będąc o krok do przodu przed konkurencją, krytykami oraz politycznymi oponentami."
do rzeczywistego,"Druga faza, zwana lokalizacją, odnosi się do rzeczywistego przystosowania produktu do potrzeb konkretnego rynku."
do rzeczywistej,"Umiarkowani realiści utrzymują, że słowo „człowiek” odnosi się do rzeczywistej istoty lub tworu, który jest rzeczywiście obecny i identyczny z Socratesem i wszystkimi innymi ludźmi, ale „człowiek” nie istnieje jako podmiot odrębny i różny."
do rzeczywistych,"Musierowicz nawiązuje do rzeczywistych miejsc (np. ul. Roosevelta), a także zdarzeń (robotnicze demonstracje w czerwcu 1956)."
do szczętu,"Pięćdziesiąt budynków, w tym dwa kościoły protestanckie, spłonęło do szczętu."
do tego,"Nic mnie nigdy nie przekona do tego, że czyste biologicznie rasy nadal istnieją."
do tej pory,"Prefektura powstała 26 września 1968 roku, kiedy Wikariat apostolski Phnom Penh (który do tej pory obejmował teren całej Kambodży) został podzielony na trzy części."
do tyłu,"Recenzent twierdził, że album pokazał „… jak bardzo do tyłu byli... thrashmetalowcy, którzy mieli ogromny wpływ” we wcześniejszych latach."
do usług,We Francji testowano użycie DARC do usług Traffic Message Channel.
do zobaczenia,28 stycznia 2015 roku Billboardnazwał GFriend jednymi z 'Top 5 K-Popowych artystów do zobaczenia w 2015 roku'.
doboru naturalnego,"Jego celem jest pokazanie dlaczego stopniowy, ciągły i kumulacyjny rozwój organizmów drogą doboru naturalnego jest jedynym mechanizmem, który może wyjaśnić złożoność, jaką możemy zaobserwować w przyrodzie."
dobrej wierze,"Tesla umożliwia używanie patentów technologicznych każdemu, kto będzie to robił w dobrej wierze."
dobór naturalny,"Interesujący, ale wciąż kontrowersyjny pomysł zakłada, że niektóre adaptacje mogą zwiększać zdolność organizmów do generowania różnorodności genetycznej i adaptacji przez dobór naturalny (zwiększająca się ewoluowalność)."
dodała otuchy,Ich muzyka dodała otuchy wojskom Unii i zmusiła Konfederatów do wycofania się.
domu publicznym,"We wrześniu 1941 roku feldmarszałekvon Brauchitschzasugerował, że cotygodniowe wizyty w domu publicznym powinny być obowiązkowe dla wszystkich młodszych żołnierzy, w celu zapobiegnięcia 'seksualnym ekscesom' pomiędzy nimi."
domy publiczne,"Jednak w tym samym czasie Ministerstwo Obrony utrzymywało oficjalne domy publiczne na niektórych wyspach w celu świadczenia usług seksualnych dla oddziałów wojskowych, które przybyły z Chin kontynentalnych w 1949 roku."
dopiero co,"Te restrykcje nie działają wstecz; tylko nowe wzory – narodowy awers dla regularnych emisji z państw, które dopiero co wstąpiły do strefy euro lub państw, które postanowiły zmienić jej wygląd oraz monety o nominale 2 euro emitowane począwszy od 2006 – im podlegają."
drenaż mózgów,"Jego rząd pozostał popularny wśród robotników, chłopów i studentów, którzy stanowili większość ludności kraju, opozycjoniści pochodzili głównie z klasy średniej; tysiące lekarzy, inżynierów i innych specjalistów wyemigrowała na Florydę w USA, powodując gospodarczy drenaż mózgów."
dziesiąta woda po kisielu,"Ech, dziesiąta woda po kisielu."
dzień dobry,"On nigdy nie mówił 'dzień dobry', 'dobranoc', 'która godzina?'."
efektach ubocznych,"W UK ponad 7600 doniesień o podejrzewanych efektach ubocznych zebranych zostało w pierwszych dwóch latach po wprowadzeniu bupropionu za zgodą Medicines and Healthcare Products Regulatory Agency jako część Yellow Card Scheme, monitorującego efekty uboczne."
eksperyment myślowy,"Proponuje eksperyment myślowy, w którym mamy dwie osoby, Mary i Toma."
eksperymentów myślowych,"W 2007 roku, twierdzenie zostało umieszczone przez magazyn Wired na liście ośmiu klasycznych eksperymentów myślowych."
fantastyki naukowej,Europa – czwarty co do wielkości księżyc Jowisza – jest przedmiotem zarówno fantastyki naukowej i naukowych spekulacji na temat przyszłej ludzkiej kolonizacji .
gatunek inwazyjny,"Introdukcje miały miejsce również na Wyspach Salomona i Fidżi, gdzie ptaki te nie są uznawane za gatunek inwazyjny."
gdy tylko,"Procesja jechała powoli przez Hornsgatan i Plac Södermalm, jednak spotkała się z groźbami i zniewagami, gdy tylko wkroczyła do miasta."
gdyby Niemcy,Organizacja praw człowieka przekonała rząd Norwegii do udzielenia mu azylu w przypadku gdyby Niemcy zwolnili go z więzienia.
gdyby nie,"Ten scenariusz wyjaśnia dlaczego manewrowanie zostało zatrzymane i dlaczego niektóre flotylle angielskie wyraźnie sygnalizowały próbę kursu na zachód, co byłoby niewytłumaczalne, gdyby nie znajdowały się na wschód od holenderskiej floty."
"gdzie dwóch Polaków, tam trzy zdania","Neither was the Polish view on the future of Europe united. The popular saying ‘Tam gdzie dwóch Polaków, tam trzy zdania’ (Two Poles, three opinions) had not yet lost its relevance."
gdzie indziej,"Później Nietzsche wyraża to jaśniej, że jest ono tautologią („co zrobię? jaka będzie moja decyzja?” – „to zależy od ciebie” – oznacza to w rzeczywistości: twoja decyzja zależy od twojej decyzji, coś dzieje się w twoim umyśle i nie gdzie indziej...)."
gorące źródła,Niedaleko są również gorące źródła.
gołym okiem,Da się zaskakująco dużo widzieć gołym okiem.
gra komputerowa,Była to pierwsza polska gra komputerowa wydana na dwóch płytach CD i z renderowaną grafiką trójwymiarową.
grup etnicznych,"Przed wojną o niepodległość Chorwacji to barokowe miasto było zamożną mieszaniną wspólnoty Chorwatów, Serbów i innych grup etnicznych."
grupami etnicznymi,"Język rosyjski jest regularnie wykorzystywany między różnymi grupami etnicznymi w kraju, a tym samym spełnia swoją określoną rolę konstytucyjną."
grupy etniczne,"Pozostałe grupy etniczne w Singapurze, takie jak Malajczycy i Hindusi, nie zostały oszczędzone."
grupę etniczną,"Steiner konkluduje, że aby osiągnąć ten poziom wolności, musimy wyzwolić się z egzystencji grupowej: z uprzedzeń zaszczepionych nam przez rodzinę, naród, grupę etniczną i religię oraz wszystko to, co należy do przeszłości, co mogłoby ograniczać naszą wyobraźnię i twórczość jako sposoby podejmowania rzeczywistości."
gówno prawda,"Wszyscy próbujemy udawać, że nasze najtrudniejsze, złe rzeczy nie wydarzyły się dobrym ludziom oraz, że istnieje pewna wyższa moc patrząca na nas... ale to gówno prawda."
i tak,Jego liczebność była jednak i tak większa niż wszystkich pozostałych pułków konnych gwardii.
i tak dalej,"Oznacza to, że dla Foucaulta „...»rządzenie«odnosiło się do kwestii samokontroli, kierowania rodziną i dziećmi, zarządzania domostwem, kierowania duszą i tak dalej”."
i taka,Technologia to bardzo ludzka aktywność – i taka też jest historia technologii.
i takie,"Bardzo rzadko czerwone znaki ulegają zredukowaniu, a nawet zanikają i takie osobniki są prawie całkowicie czarne."
i taksówek,"Ta strona ma niebieskie tło dla ciężarówek i pojazdów użytkowych, żółta dla transportu publicznego i taksówek, a zielona dla pojazdów dyplomatycznych."
i taksówkarz,"Zarówno Schumacher, jak i taksówkarz, zostali upomnieni przez lokalną policję."
i taksówki,Autobusy i taksówki stanowią w Makau główny środek transportu publicznego.
i taktyczna,"Twierdzi się, że Finn to najbardziej fizyczna i taktyczna jednoosobowa żaglówka na świecie."
i taktyk,"Z analizy konkretnych przykładów natury i fizjologii określono 10 aksjomatów i praw ekologii informacji, która służy jako podstawa do tworzenia strategii informacyjnych i taktyk w sferze społecznej, gospodarczej, politycznej i innych, które wpływają na zdrowie ludzkie i społeczności ludzkie."
i taktyka,"Zaawansowana broń i taktyka Charisjan zwiększają przewagę na polu bitwy, ale Świątynia i jej sojusznicy nadal znacznie przewyższają Reformistów liczebnością."
i także,Dziekan i kapituła diecezji Clogher posiadają swe stalle w tej katedrze i także w głównej katedrze w Clogher.
i tyle,Pióra pokrywające ciało Zhenyuanlong reprezentują niewielkie regiony odcisków na przedzie i tyle szyi.
ile ma lat,"Muni sam nie wie, ile ma lat."
inaczej mówiąc,"Dlatego to od naszej wolności zależy bycie wolnym; inaczej mówiąc, tylko gdy aktywnie dążymy do wolności mamy jakąś szansę na osiągnięcie jej."
innych słów,"Użycie słowa yi(mi), zamiast innych słów na określenie 'tego' było widziane jako cecha wyróżniająca plemię Guugu Yimithirr."
innym razem,"W różnych okresach Waldeck powiedział, że urodził się w Paryżu, Pradze, czy Wiedniu, a innym razem twierdził, że jest obywatelem niemieckim, austriackim czy angielskim."
innymi słowy,"Lub, innymi słowy, czy to coś może być przewidziane: czy jest pewne (jeśli znane jest istnienie lub nie dostatecznej podstawy), czy nie."
jak Toronto,"Taka pojemność pozwala 777-200LR operować na ultra-dalekich dystansach transpolarnych, takich jak Toronto – Hongkong."
jak Towarzystwo,"W późniejszym okresie założył takie wpływowe organizacje rewolucyjne jak Towarzystwo Rozwoju Moralności i nadzorował radykalne czasopisma, takie jak Nowa Era czy Praca, będącej pierwszą syndykalistyczną gazetą w Chinach."
jak bardzo,"Nie mogę powiedzieć ci, jak bardzo cierpiałem przez ten okres męki."
jak diabli,Ta pralka jest ciężka jak diabli!
jak najbardziej,"Terapia zajęciowa pomaga dorosłym i dzieciom zmaksymalizować ich funkcjonowanie, dostosowywać się do własnych ograniczeń i żyć jak najbardziej niezależnie."
jak pies,"Zwykł powiadać: 'Jeżeli ktoś prosi Cię o pieniądze, a nie zamierzasz mu ich dać, nie dawaj mu ich, lecz nie szczekaj na niego jak pies'."
jak to,"Slowloris otwiera wiele połączeń do serwera docelowego i pozostawia je otwarte tak długo, jak to możliwe."
jak tylko,"Darien Lambert, policyjny detektyw z roku 2193, został wysłany do roku 1993 z zadaniem ujęcia tak wielu zbiegów jak tylko możliwe."
jak z bicza strzelił,Dzień minął mi jak z bicza strzelił.
jak z koziej dupy trąba,"Taki z ciebie fachowiec, jak z koziej dupy trąba."
jakiś czas,"Cyryl Genik przeniósł się na jakiś czas z najstarszą córką i jednym z synów do Stanów Zjednoczonych, do Północnej Dakoty, następnie wrócił do Kanady i zmarł w 1925 roku."
jako że,"Zaapelował do demonstrantów o powrót do domów, jako że ich żądania zostały już spełnione."
jasna jak słońce,"Jakakolwiek jest bezpośrednia przyczyna tego niedorzecznego wyroku, główna przyczyna jest jasna jak słońce: siostry Scott są czarnymi kobietami w najbiedniejszym stanie Ameryki'."
jechał po bandzie,"Jeśli dalej będzie tak jechał po bandzie, to go zwolnią."
